Data Source,世界发展指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023/3/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
亚美尼亚,ARM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,870,760,640,550,540,540,540,520,510,530,540,630,610,660,640,950,790,770,820,770,800,960,1020,980,1090,1620,1220,1170,1270,,
美属萨摩亚,ASM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,,
澳大利亚,AUS,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78290,77300,76410,76130,75920,75710,69970,68920,73340,90300,98360,108700,101530,61260,85030,62220,81720,76870,61400,65130,54100,107160,106510,62980,75330,71810,57330,79460,76800,60870,,
奥地利,AUT,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4970,4990,4780,4710,4670,4650,4760,4690,4700,4700,4660,4550,4470,4480,3930,3970,3960,3870,4000,3770,3780,3780,3830,3850,3930,3950,3960,3890,3830,3850,,
阿塞拜疆,AZE,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980,3000,2640,2410,2270,2260,2170,2280,2310,2360,2390,2580,2700,2790,2930,3000,3140,3150,3350,3390,3360,3460,3570,3620,3710,4100,4050,3960,4260,4130,,
布隆迪,BDI,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,1040,1050,1040,990,1030,1020,1040,1110,1140,1150,1160,1150,1160,1200,1220,1270,1290,1340,1400,1490,1560,1600,1750,1760,1740,1880,2100,2160,2030,,
比利时,BEL,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8170,8100,7730,7950,8450,8830,9320,9020,9110,9050,7680,7470,7960,7200,7280,7160,6150,5520,5480,5680,6190,4940,4950,4840,4820,4780,4620,4570,4590,4580,,
贝宁,BEN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,1690,1720,1740,1850,1790,2090,2180,2280,2230,2380,1940,2260,2030,1950,2340,2140,2220,2010,2120,2150,2210,2260,2380,2380,2340,2560,2470,2840,2720,,
布基纳法索,BFA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4730,4940,5040,5120,5380,5500,5450,5700,5770,5910,6390,5860,6220,7540,7740,8030,7850,7990,8150,8340,8720,8710,8790,9080,9150,9240,9750,9790,9910,10120,,
孟加拉国,BGD,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16430,17220,17530,17920,18570,19850,20380,19910,19950,21190,21360,21840,22420,21960,22100,22880,23910,24000,26090,25590,26150,27200,26600,26760,27680,28360,27420,28580,29330,28920,,
保加利亚,BGR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8240,7050,5230,4530,4570,4340,4430,4140,3570,3320,3710,3920,4330,4440,4340,3960,3230,3590,3810,3790,3720,4360,3450,3780,3850,4030,4050,4120,4130,4160,,
巴林,BHR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,60,60,60,60,70,60,70,70,80,90,100,110,110,110,120,110,130,130,130,140,140,150,150,160,190,180,,
巴哈马,BHS,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,30,20,30,20,20,20,20,20,30,20,20,20,30,20,20,30,30,30,30,30,30,30,30,30,,
波斯尼亚和黑塞哥维那,BIH,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,990,890,800,670,570,500,630,800,850,880,810,800,770,970,920,940,940,890,1220,1200,1340,1420,1330,1430,1480,1360,1350,1270,1340,,
白俄罗斯,BLR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17490,16480,13070,12760,12040,11900,11930,11970,11880,11830,11610,11620,11280,11530,11750,12110,12600,12450,12990,13130,13030,13530,13390,13150,12730,12610,11860,12280,12150,12060,,
伯利兹,BLZ,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,110,100,100,90,90,90,100,100,100,100,160,230,100,120,110,120,120,150,130,160,150,220,220,230,230,220,200,220,,
百慕大,BMU,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利维亚,BOL,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010,5140,5240,5380,5540,5680,5480,5670,6010,6350,6040,6010,6890,6580,7440,7980,7660,7650,7670,7660,9520,8460,8480,8470,8050,8580,9080,8890,8800,9720,,
巴西,BRA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106270,110200,111860,114640,118100,120050,113010,116340,123650,124030,123930,129860,140220,145710,156220,155130,152980,158620,152420,148640,166180,165610,166610,167210,174020,171370,175480,183640,178490,182050,,
巴巴多斯,BRB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,40,40,40,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
文莱达鲁萨兰国,BRN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,90,90,80,80,90,90,90,100,110,110,120,110,120,120,120,130,130,130,130,140,130,150,150,140,140,150,140,150,150,,
不丹,BTN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,100,110,110,120,120,120,110,120,110,100,110,100,110,120,110,120,110,110,110,110,110,110,110,100,100,110,110,110,,
博茨瓦纳,BWA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,4410,4280,4170,4320,4630,5430,5140,4620,4510,4320,5410,5590,1940,2210,2760,3800,2760,7250,2620,8440,10690,4390,3890,2520,2210,1840,3540,2390,1530,,
中非共和国,CAF,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8040,8160,8170,8190,10620,10660,11690,11760,12770,11530,13060,11040,9840,12500,11120,11630,11670,11800,12450,10060,11170,11740,10230,10860,10610,10750,11660,10850,11110,9940,,
加拿大,CAN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40220,39950,40460,40230,42280,43620,45930,43670,40360,37140,35450,34780,36080,36650,38770,39860,35670,39900,40190,37020,37420,40040,42150,41750,41190,41150,40240,40940,42760,41500,,
中歐和波羅的海,CEB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86850,73820,67850,65740,64990,64130,66100,65790,61980,59940,62830,63600,60900,62300,65410,65500,64480,66200,63850,55660,56660,57550,56140,55100,54530,55760,56670,56910,56940,57340,,
瑞士,CHE,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2820,2790,2740,2750,2730,2710,2630,2630,2550,2550,2590,2480,2470,2490,2540,2560,2520,2590,2550,2560,2510,2460,2480,2450,2440,2450,2440,2410,2420,,
海峡群岛,CHI,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4650,4640,4840,5050,5350,5660,5940,6150,6220,6480,6570,6510,6580,6330,6870,6550,6760,7270,8040,7960,8210,7660,7670,7200,6800,6840,6510,6540,6590,6770,,
中国,CHN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295770,303320,309200,301010,314550,358190,384120,356010,364990,380660,375420,377910,396770,400790,416780,427310,440230,449070,464320,475730,488160,497300,509380,522600,534100,549330,552360,548720,544840,552060,,
科特迪瓦,CIV,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2590,2650,2700,2790,2860,2930,2780,2950,2990,2930,3030,3250,3580,3440,2870,3570,3350,3480,3210,3100,3110,3270,3330,3560,3170,3230,3830,3250,3210,3090,,
喀麦隆,CMR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360,5320,5350,5370,61150,61130,61260,61420,61950,61890,62580,62180,62130,62810,62080,62850,62280,62130,61960,61820,62100,62030,61970,62150,62060,62140,62240,62200,62230,62160,,
刚果（金）,COD,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13390,13320,13380,13370,13390,13340,10650,10430,10950,10050,9870,10770,13390,14610,15580,15360,15610,13860,14670,14560,15070,14300,13860,14630,14370,14880,14810,15410,14430,14600,,
刚果（布）,COG,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490,1490,1490,1500,1510,1510,880,900,930,940,830,880,1120,1570,1640,1870,1910,1750,1770,1690,1920,1990,1970,2050,1840,2030,2050,2010,2060,2030,,
哥伦比亚,COL,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18150,18130,18090,18410,18660,18740,18500,18490,18830,18150,18630,19140,19390,20110,20370,20760,21260,22780,21970,22160,22710,22040,21580,20240,20920,20410,20550,21550,22610,22860,,
科摩罗,COM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,50,50,40,40,50,40,40,40,40,40,50,40,50,50,50,50,50,50,50,50,50,50,,
佛得角,CPV,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,60,80,80,60,80,50,60,80,80,80,80,80,80,80,80,80,80,80,90,100,60,60,70,70,70,70,60,60,60,,
哥斯达黎加,CRI,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640,1690,1700,1670,1640,1540,1770,1820,1860,1660,1560,1450,1440,1560,1460,1530,1550,1650,1730,1520,1640,1860,1800,1830,1750,1810,1950,1910,1960,1960,,
加勒比小国,CSS,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820,1870,1880,1870,1870,1990,2050,2070,2060,2120,2110,2110,2200,2320,2360,2210,2170,2150,2290,2250,2270,2270,2340,2410,2430,2470,2420,2370,2440,2460,,
古巴,CUB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6440,5880,5410,4550,4070,3990,3970,4090,3950,3750,3710,3870,3570,3330,3420,3190,3350,3430,3480,3370,3410,3630,3560,3670,3860,3760,3630,3620,3540,3560,,
库拉索,CUW,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开曼群岛,CYM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞浦路斯,CYP,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,320,370,370,370,370,380,360,370,370,360,380,400,400,390,360,360,370,360,380,390,380,380,340,340,350,350,360,360,370,,
捷克共和国,CZE,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8020,6110,5950,5370,5550,5530,5750,5490,5410,5130,5530,5870,4900,4980,5190,5090,4960,4990,4920,4690,4550,4710,5140,4980,5100,5550,5580,5280,5140,5320,,
德国,DEU,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65350,64270,64290,61230,64690,62780,64000,61480,48790,45320,43660,45320,45120,44900,46230,44480,43050,46710,44390,44590,37560,36010,36100,36730,37620,36740,36070,34980,33120,34120,,
吉布提,DJI,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,210,220,230,240,240,250,250,250,250,250,250,260,250,250,250,250,260,260,260,260,260,260,260,260,260,260,,
多米尼克,DMA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,20,20,20,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
丹麦,DNK,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300,7170,6700,6740,6640,6640,6590,6580,6400,6440,6440,6260,6100,6250,5540,5430,5380,5350,5360,5070,4980,4970,5000,4910,5090,5260,5240,5250,4880,5170,,
多米尼加共和国,DOM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,2060,2020,2040,2090,2120,2210,2280,2270,2070,2010,2150,2440,2330,2530,2540,2700,2890,2840,2910,3040,3020,2930,2940,2980,3120,3200,3270,3410,3340,,
阿尔及利亚,DZA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5070,4860,4830,4740,4330,4240,4340,4210,4790,4720,7480,7640,7460,7710,8390,7770,8130,8160,7870,8470,8730,9350,10330,10910,11700,12310,12300,12300,12510,12610,,
东亚与太平洋地区（不包括高收入）,EAP,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427860,437090,447130,440800,459050,505080,535490,505880,517180,533820,530580,531560,554730,564810,585780,596230,611970,628480,643340,665290,678370,689980,707040,721690,736940,753920,760410,768200,766430,776010,,
早人口紅利,EAR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556650,558440,568330,568710,577990,593640,610960,622540,637720,644130,651270,658980,662600,677500,695650,717800,742150,762790,774760,788290,810450,829510,830900,838950,842680,850880,867280,893700,901870,907130,,
东亚与太平洋地区,EAS,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556840,565940,579200,574310,596400,644930,670930,642000,655870,684730,693230,701360,717540,690720,737660,723250,756660,758750,756360,781210,783060,847600,864180,836240,864230,878030,870530,901190,897230,891070,,
欧洲与中亚地区（不包括高收入）,ECA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255380,240620,216340,200810,179640,169460,160760,157150,149290,144650,145060,147000,153270,150910,149230,150540,154110,154730,160760,160760,160980,167380,167980,172830,175620,176190,182690,186730,185370,189900,,
欧洲与中亚地区,ECS,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646510,616170,576560,553820,537090,523670,524480,515320,485680,461230,457580,457220,456890,453670,454820,449210,442150,446460,438710,421720,415260,413860,413790,418750,424120,426140,430420,435510,428670,435040,,
厄瓜多尔,ECU,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680,3820,3960,4090,4210,4280,4550,4910,4720,4370,4100,5340,4840,4770,4980,4770,4870,4600,4980,5220,5490,5570,5430,5400,5330,4850,4940,5020,5140,5160,,
阿拉伯埃及共和国,EGY,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12480,13330,13500,14480,13820,15730,16410,16340,17190,17600,18650,18920,19630,20050,21240,21060,21580,21920,22990,23720,24150,24190,23260,22750,22320,22370,22900,22830,22590,23320,,
欧洲货币联盟,EMU,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248150,244260,237870,234300,238570,237420,244690,240000,221990,213100,208250,207630,206470,204870,204580,198560,189950,193320,182110,174390,165880,159170,159300,160520,162720,163000,160010,160360,155590,156460,,
厄立特里亚,ERI,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,1220,1280,1050,1080,1100,1270,1450,1530,1570,1630,1480,1450,1490,1500,1550,1480,1600,1590,1600,1550,1630,1630,1650,1660,1670,1690,1690,1710,1710,,
西班牙,ESP,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22210,21450,19880,20360,20980,20680,22750,22360,23690,23660,23760,23370,23010,24010,23290,21920,22280,22850,20580,20230,20700,19650,19000,19560,20360,20490,20280,20690,20420,20060,,
爱沙尼亚,EST,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,1820,1570,1430,1290,1230,1200,1190,1220,1200,1220,1200,1190,1230,1250,1230,1230,1280,1340,1280,1310,1320,1350,1370,1400,1420,1360,1400,1390,1400,,
埃塞俄比亚,ETH,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23620,23630,24160,21640,21920,22120,23380,23890,26100,25940,24600,25450,29030,27810,28740,30140,31590,35170,36140,37780,39490,38930,41030,41760,43380,44490,46190,47230,47450,47720,,
欧洲联盟,EUU,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333050,317350,306020,301960,305770,304000,312720,307630,285470,275010,272590,271960,267680,267490,269160,262870,252860,257110,244030,229990,222810,216680,215550,215990,217800,219520,217540,218370,213200,214790,,
脆弱和受衝突影響的情況下,FCS,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191500,192800,196930,198250,261390,264300,269240,272610,284290,285270,290930,286180,297650,305090,309540,320400,319200,326090,331910,332420,338570,340760,349250,354920,358520,361630,373620,376270,382260,381040,,
芬兰,FIN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,5920,5740,5830,6020,6000,6000,6040,5890,5900,5960,5860,6050,6070,6230,6440,6120,6310,6640,5520,5190,4750,4780,4880,4980,4960,4880,4910,4940,5010,,
斐济,FJI,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,330,330,360,370,390,390,390,380,360,340,360,370,330,360,350,340,340,350,330,330,330,340,340,160,180,170,190,180,210,,
法国,FRA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61290,61750,59650,59890,60660,61490,63760,63120,55940,51220,49090,49840,47360,47220,44690,43510,42710,43790,41960,39760,38680,36730,37300,38280,38530,39150,37650,38620,38120,38260,,
法罗群岛,FRO,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
